Index,passenger_name,Born,Died,Age,age_at_death,gender,marital_status,category,ticket_class,job_group,ticket,cabin,embarked,disembarked
317,Sirola Nicola,1887,,25,,Male,,Crew,,Carpathia Crew,,,,
318,Skerl Oscar,1884,,28,,Male,,Crew,,Carpathia Crew,,,,
319,Slagiaric Francesco,1893,,19,,Male,,Crew,,Carpathia Crew,,,,
320,Smith Christopher,1880,1958,32,77,Male,Married,Crew,,Carpathia Crew,,,,
321,Smith Hettie,1878,,34,,Female,,Crew,,Carpathia Crew,,,,
322,Smojver Miladin,1898,,14,,Male,,Crew,,Carpathia Crew,,,,
323,Sokaz Petar,1879,,33,,Male,,Crew,,Carpathia Crew,,,,
324,Sparozic Steve,1886,,26,,Male,,Crew,,Carpathia Crew,,,,
325,Spencer W.,1870,,42,,Male,,Crew,,Carpathia Crew,,,,
326,St. Clair Ernest Wainwright,1893,1982,19,88,Male,Single,Crew,,Carpathia Crew,,,,
327,Stern Fanny,1882,,30,,Female,,Crew,,Carpathia Crew,,,,
328,Stowell Leo,1891,1961,21,70,Male,Single,Crew,,Carpathia Crew,,,,
329,Strohmeier Franz,1888,,24,,Male,,Crew,,Carpathia Crew,,,,
330,Suher Giuseppe,1895,,17,,Male,,Crew,,Carpathia Crew,,,,
331,Szentc Adalbert,1875,,37,,Male,,Crew,,Carpathia Crew,,,,
332,Terranti Ja.,1875,,37,,Male,,Crew,,Carpathia Crew,,,,
333,Thane Harold Thornton,1888,1917,23,29,Male,,Crew,,Carpathia Crew,,,,
334,Thomas Richard Gee,1887,1947,24,59,Male,,Crew,,Carpathia Crew,,,,
